state,county,candidate,party,votes,won,total_votes,percent,State,
New Hampshire,Coos ,Donal Trump,REP,8617,TRUE,16539 ,0.521,NH,
New Hampshire,Carroll,Donal Trump,REP,16150,FALSE,33298 ,0.485,NH,
New Hampshire,Grafton,Donal Trump,REP,19905,FALSE,53943 ,0.369,NH,
New Hampshire,Belknap,Donal Trump,REP,20899,TRUE,38488 ,0.543,NH,
New Hampshire,Sullivan,Donal Trump,REP,11508,FALSE,24381 ,0.472,NH,
New Hampshire,Merrimack,Donal Trump,REP,39711,FALSE,89843 ,0.442,NH,
New Hampshire,Strafford,Donal Trump,REP,30489,FALSE,73644 ,0.414,NH,
New Hampshire,Rockingham,Donal Trump,REP,95858,FALSE,198875 ,0.482,NH,
New Hampshire,Hillsborougn,Donal Trump,REP,104625,FALSE,230960 ,0.453,NH,
New Hampshire,Cheshire,Donal Trump,REP,17898,FALSE,44192 ,0.405,NH,
Vermont,Essex,Donal Trump,REP,1773,TRUE,3289 ,0.539,VT,
Vermont,Orleans,Donal Trump,REP,6512,FALSE,14095 ,0.462,VT,
Vermont,Franklin,Donal Trump,REP,11275,FALSE,25860 ,0.436,VT,
Vermont,Grand Isle,Donal Trump,REP,1810,FALSE,4866 ,0.372,VT,
Vermont,Caledonia,Donal Trump,REP,6551,FALSE,16175 ,0.405,VT,
Vermont,Lamoille,Donal Trump,REP,4163,FALSE,14921 ,0.279,VT,
Vermont,Chittenden,Donal Trump,REP,21016,FALSE,99132 ,0.212,VT,
Vermont,Washington,Donal Trump,REP,8928,FALSE,35289 ,0.253,VT,
Vermont,Addison,Donal Trump,REP,6292,FALSE,22000 ,0.286,VT,
Vermont,Orange,Donal Trump,REP,6187,FALSE,17139 ,0.361,VT,
Vermont,Windsor,Donal Trump,REP,9990,FALSE,34448 ,0.29,VT,
Vermont,Rutland,Donal Trump,REP,14672,FALSE,33963 ,0.432,VT,
Vermont,Bennington,Donal Trump,REP,7114,FALSE,20501 ,0.347,VT,
Vermont,Windham,Donal Trump,REP,6308,FALSE,26066 ,0.242,VT,
Massachusetts,Berkshire,Donal Trump,REP,16263,FALSE,65052 ,0.25,MA,
Massachusetts,Franklin,Donal Trump,REP,10126,FALSE,38068 ,0.266,MA,
Massachusetts,Hampshire,Donal Trump,REP,21807,FALSE,85184 ,0.256,MA,
Massachusetts,Hampden,Donal Trump,REP,84231,FALSE,211636 ,0.398,MA,
Massachusetts,Worcester,Donal Trump,REP,169727,FALSE,425381 ,0.399,MA,
Massachusetts,Essex,Donal Trump,REP,142815,FALSE,413957 ,0.345,MA,
Massachusetts,Middlesex,Donal Trump,REP,223374,FALSE,842921 ,0.265,MA,
Massachusetts,Suffolk,Donal Trump,REP,55699,FALSE,314684 ,0.177,MA,
Massachusetts,Norfolk,Donal Trump,REP,118838,FALSE,385838 ,0.308,MA,
Massachusetts,Bristol,Donal Trump,REP,118085,FALSE,273979 ,0.431,MA,
Massachusetts,Plymouth,Donal Trump,REP,111503,FALSE,259914 ,0.429,MA,
Massachusetts,Barnstable,Donal Trump,REP,54147,FALSE,147139 ,0.368,MA,
Massachusetts,Dukes,Donal Trump,REP,2588,FALSE,12624 ,0.205,MA,
Massachusetts,Nantucket,Donal Trump,REP,1912,FALSE,7298 ,0.262,MA,
Rhode Island,Providence,Donal Trump,REP,102546,FALSE,271286 ,0.378,RI,
Rhode Island,Kent,Donal Trump,REP,41999,FALSE,92509 ,0.454,RI,
Rhode Island,Washington,Donal Trump,REP,29818,FALSE,75680 ,0.394,RI,
Rhode Island,Bristol,Donal Trump,REP,9745,FALSE,28246 ,0.345,RI,
Rhode Island,Newport,Donal Trump,REP,15722,FALSE,45837 ,0.343,RI,
Connecticut,Litchfield,Donal Trump,REP,55609,TRUE,107561 ,0.517,CT,
Connecticut,Windham,Donal Trump,REP,29141,TRUE,57027 ,0.511,CT,
Connecticut,Fairfield,Donal Trump,REP,167905,FALSE,470322 ,0.357,CT,
Connecticut,New Haven,Donal Trump,REP,170354,FALSE,418560 ,0.407,CT,
Connecticut,Hartford,Donal Trump,REP,159370,FALSE,450198 ,0.354,CT,
Connecticut,Middlesex,Donal Trump,REP,40665,FALSE,99183 ,0.41,CT,
Connecticut,Tolland,Donal Trump,REP,34819,FALSE,80600 ,0.432,CT,
Connecticut,New London,Donal Trump,REP,57110,FALSE,139633 ,0.409,CT,
Maine,Aroostook,Donal Trump,REP,19622,TRUE,33715 ,0.582,ME,
Maine,Oxford,Donal Trump,REP,16860,TRUE,31871 ,0.529,ME,
Maine,Franklin,Donal Trump,REP,7324,TRUE,14978 ,0.489,ME,
Maine,Somerset,Donal Trump,REP,13915,TRUE,23545 ,0.591,ME,
Maine,Piscataquis,Donal Trump,REP,5703,TRUE,9228 ,0.618,ME,
Maine,Penobscot,Donal Trump,REP,40132,TRUE,78230 ,0.513,ME,
Maine,Washington,Donal Trump,REP,7104,TRUE,12061 ,0.589,ME,
Maine,York,Donal Trump,REP,54099,FALSE,130359 ,0.415,ME,
Maine,Cumberland,Donal Trump,REP,59491,FALSE,193782 ,0.307,ME,
Maine,Sagadahoc,Donal Trump,REP,9755,FALSE,24027 ,0.406,ME,
Maine,Kennebec,Donal Trump,REP,34151,FALSE,70706 ,0.483,ME,
Maine,Lincoln,Donal Trump,REP,9723,FALSE,22148 ,0.439,ME,
Maine,Knox,Donal Trump,REP,9870,FALSE,25308 ,0.39,ME,
Maine,Waldo,Donal Trump,REP,11279,FALSE,24520 ,0.46,ME,
Maine,Hancock,Donal Trump,REP,13662,FALSE,33000 ,0.414,ME,
Maine,Androscoggin,Donal Trump,REP,29259,TRUE,58753 ,0.498,ME,